text,label
"The Federal Reserve announced today that it will raise interest rates by 0.25 percentage points in response to persistent inflation concerns.",real
"BREAKING: Scientists have discovered that vaccines contain microchips that can control your thoughts through 5G networks.",fake
"The unemployment rate dropped to 3.5% last month, marking the lowest level in over 50 years according to the Bureau of Labor Statistics.",real
"A secret government program has been injecting tracking devices into citizens through COVID-19 vaccines.",fake
"Climate change is causing more frequent and intense weather events, according to the latest report from the Intergovernmental Panel on Climate Change.",real
"The moon landing was completely faked by NASA using Hollywood special effects.",fake
"Stock markets reached new all-time highs today as investors responded positively to the latest economic data.",real
"Bill Gates is using vaccines to depopulate the world as part of a secret global conspiracy.",fake
"The new infrastructure bill includes funding for broadband expansion and renewable energy projects.",real
"5G towers are causing coronavirus and brain damage through electromagnetic radiation.",fake
